"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","POWER [kW]","POWER* [kVA]","POWER-FACTOR []","LIGHTS [A]","MICROWAVE [A]","KITCHEN1 [A]","DRYER [A]","HEATING1 [A]","RANGE2 [A]","BATHROOM [A]","WASHER [A]","AC [A]","DISHWASHER [A]","MAINS1 [A]","MAINS2 [A]"
2019-12-06 15:52:00,-0.179483333,-0.000000000,122.548972487,123.291522523,-0.179483333,0.252266667,0.711550034,0.809700038,0.147300007,0.903500043,0.150816674,0.147266674,0.177966675,0.143250007,0.143733340,0.144533340,0.142383340,0.994333381,1.058116717
2019-12-06 15:51:00,-0.169766667,-0.000000000,122.586422489,123.300772523,-0.169766667,0.243933333,0.695666700,0.730333368,0.147283340,0.907566710,0.150250007,0.145900007,0.176400008,0.142350007,0.144450007,0.146833340,0.140683340,0.927100044,1.057333384
2019-12-06 15:50:00,-0.159000000,-0.000000000,122.493122485,123.352172526,-0.159000000,0.236083333,0.673583365,0.643783364,0.146866674,0.910883377,0.151416674,0.146300007,0.177266675,0.143700007,0.143866673,0.147150007,0.141633340,0.858100041,1.063250051
2019-12-06 15:49:00,-0.160916667,-0.000000000,122.369255812,123.325005858,-0.160916667,0.237300000,0.678166699,0.658666698,0.146183340,0.914883377,0.150833340,0.146550007,0.177900008,0.143700007,0.144700007,0.144966674,0.140733340,0.866633374,1.065933384
2019-12-06 15:48:00,-0.162283333,-0.000000000,122.516939153,123.318872524,-0.162283333,0.238866667,0.679383366,0.664100032,0.147600007,0.918800044,0.151066674,0.147033340,0.178900008,0.143250007,0.144833340,0.145916674,0.141833340,0.875600042,1.068283384
2019-12-06 15:47:00,-0.162533333,-0.000000000,122.426322482,123.300755856,-0.162533333,0.239650000,0.678283366,0.664083365,0.146500007,0.923416711,0.151183341,0.147166674,0.176283342,0.143933340,0.144083340,0.144883340,0.141200007,0.876350042,1.075000051
2019-12-06 15:46:00,-0.163383333,-0.000000000,122.409289147,123.362655859,-0.163383333,0.240233333,0.680150032,0.666183365,0.148216674,0.927500044,0.149950007,0.146283340,0.177633342,0.142666673,0.144133340,0.147583340,0.141166673,0.878400042,1.077183384
2019-12-06 15:45:00,-0.163933333,-0.000000000,122.403439147,123.356822526,-0.163933333,0.240950000,0.680416699,0.666066698,0.148083340,0.933400044,0.151300007,0.146966674,0.177050008,0.142400007,0.145550007,0.145683340,0.141350007,0.880500042,1.081150051
2019-12-06 15:44:00,-0.165200000,-0.000000000,122.252172473,123.406189195,-0.165200000,0.241783333,0.683283366,0.671416699,0.146616674,0.938483378,0.151200007,0.148783340,0.176233342,0.142516673,0.144150007,0.146433340,0.141383340,0.882466709,1.086950052
2019-12-06 15:43:00,-0.165033333,-0.000000000,122.233122472,123.398522528,-0.165033333,0.241383333,0.683666699,0.667416698,0.146733340,0.943550045,0.152933341,0.148400007,0.176900008,0.142766673,0.143083340,0.143850007,0.141033340,0.876466708,1.089916718
